Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,1989A1,1990A1,1991A1,1992A1,1993A1,1994A1,1995A1,1996A1,1997A1,1998A1,1999A1,2000A1,2001A1
World Economic Outlook,Annual percent change,W914NGDP_R%,ALBANIA,"Gross domestic product, constant prices",2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.68,5.00,2.95,1.10,-1.25,1.78,5.64,-0.79,-1.42,9.84,-10.00,-28.00,-7.19,9.56,9.40,8.90,9.10,-7.00,8.00,8.00,8.00,8.00
World Economic Outlook,Annual percent change,W612NGDP_R%,ALGERIA,"Gross domestic product, constant prices",7.33,-1.93,10.25,7.63,1.22,10.28,9.03,7.55,9.20,-5.40,-5.40,0.00,3.00,6.40,5.40,5.60,-0.20,-0.70,-1.90,4.80,0.80,-1.20,1.60,-2.10,-0.90,3.85,3.80,1.10,5.10,3.40,4.16,4.15
World Economic Outlook,Annual percent change,W614NGDP_R%,ANGOLA,"Gross domestic product, constant prices",9.63,6.00,0.15,8.14,3.13,-5.04,-5.25,0.76,-5.30,0.30,2.41,-4.40,0.00,4.20,6.00,3.50,2.90,4.08,6.13,0.04,0.06,0.32,-5.84,-23.98,1.34,11.55,11.57,5.74,6.39,1.28,n.a.,n.a.
World Economic Outlook,Annual percent change,W311NGDP_R%,ANTIGUA AND BARBUDA,"Gross domestic product, constant prices",4.39,7.34,7.48,8.30,6.77,2.90,4.86,4.71,9.42,7.71,2.63,2.67,-0.10,8.80,8.50,15.28,8.90,8.98,5.67,6.83,2.28,2.73,0.40,5.50,6.17,-4.95,6.10,5.60,3.90,3.10,n.a.,n.a.
World Economic Outlook,Annual percent change,W213NGDP_R%,ARGENTINA,"Gross domestic product, constant prices",0.00,6.67,6.25,5.88,5.56,-1.30,-3.30,4.90,-3.40,7.10,0.70,-5.74,-3.15,3.73,2.00,-6.95,7.15,2.53,-1.96,-7.01,-1.34,10.50,10.30,6.25,5.84,-2.84,5.53,8.11,3.87,-3.13,3.41,3.70
World Economic Outlook,Annual percent change,W911NGDP_R%,ARMENIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-12.36,-52.60,-14.05,5.40,6.90,5.87,3.32,7.16,4.00,6.01,6.00
World Economic Outlook,Annual percent change,W193NGDP_R%,AUSTRALIA,"Gross domestic product, constant prices",5.19,5.02,2.41,6.87,1.97,2.30,3.89,1.62,2.83,4.98,2.05,3.97,0.30,-0.04,6.47,5.32,1.85,5.01,5.65,4.27,1.52,-0.86,2.62,3.80,4.99,4.39,3.98,3.87,5.11,4.44,3.92,3.46
World Economic Outlook,Annual percent change,W122NGDP_R%,AUSTRIA,"Gross domestic product, constant prices",7.17,5.11,6.21,4.89,3.94,-0.36,4.58,4.68,-0.36,5.45,2.31,-0.10,1.91,2.80,0.33,2.24,2.34,1.68,3.17,4.23,4.55,3.42,1.34,0.51,2.38,1.70,1.98,1.19,2.88,1.98,3.10,3.28
World Economic Outlook,Annual percent change,W912NGDP_R%,AZERBAIJAN,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-0.70,-22.73,-23.10,-19.66,-11.82,1.26,5.80,10.00,7.40,4.60,7.90
World Economic Outlook,Annual percent change,W313NGDP_R%,"BAHAMAS, THE","Gross domestic product, constant prices",5.88,-1.12,0.71,8.46,7.02,-14.58,4.84,2.99,9.88,11.30,7.10,-2.90,6.30,6.80,2.40,4.10,2.60,3.70,2.26,2.30,1.25,-2.70,-2.00,1.70,0.90,0.30,4.20,3.30,3.00,6.00,n.a.,n.a.
